"Latest: Wavelength (nm)","Latest: Intensity (rel)","Run 2: Wavelength (nm)","Run 2: Intensity (rel)","Run 3: Wavelength (nm)","Run 3: Intensity (rel)","Run 4: Wavelength (nm)","Run 4: Intensity (rel)","Run 5: Wavelength (nm)","Run 5: Intensity (rel)"
456.7,0.0294254978256,456.7,0.0156688792248,456.7,0.0151842526894,456.7,0.0153078507668,456.7,0.022783245594
457.4,0.0232150759136,457.4,0.0153751430533,457.4,0.0131548027771,457.4,0.0131410696574,457.4,0.0130937666896
458.1,0.0260074769207,458.1,0.0157001602197,458.1,0.0176256961929,458.1,0.0157961394675,458.1,0.0119493400473
458.7,0.0461799038682,458.7,0.0153865873198,458.7,0.0173510337987,458.7,0.0265384908827,458.7,0.034441138323
459.4,0.0302800030518,459.4,0.0153232623789,459.4,0.014650186923,459.4,0.0140260929274,459.4,0.0211047531853
460.1,0.032324711986,460.1,0.0154766155489,460.1,0.015535210193,460.1,0.0201297016861,460.1,0.020860608835
460.7,0.0339269092851,460.7,0.0155323109789,460.7,0.014360265507,460.7,0.0199313344015,460.7,0.0180376897841
461.4,0.0296391241321,461.4,0.0149890897993,461.4,0.0141924162661,461.4,0.0170321202411,461.4,0.0195788509957
462.1,0.0348882276646,462.1,0.015412527657,462.1,0.0169237811856,462.1,0.0177340352483,462.1,0.0246753643091
462.7,0.0362462806134,462.7,0.0153995574884,462.7,0.0157335774777,462.7,0.0212130922408,462.7,0.0243091477836
463.4,0.0320805676356,463.4,0.0149921416037,463.4,0.0180987258717,463.4,0.0155367360952,463.4,0.0163744563973
464.1,0.0331639581903,464.1,0.015694056611,464.1,0.0156115053025,464.1,0.0222507057298,464.1,0.0203112840467
464.7,0.0438147554742,464.7,0.0156864271,464.7,0.0194720378424,464.7,0.0285374227512,464.7,0.0366079194324
465.4,0.0313023575189,465.4,0.0155056076905,465.4,0.0177172503243,465.4,0.0162386511025,465.4,0.023363088426
466.1,0.0353917753872,466.1,0.0155880064088,466.1,0.0150621805142,466.1,0.0183596551461,466.1,0.0287190051118
466.7,0.0250156404974,466.7,0.0152240787366,466.7,0.0155046921492,466.7,0.0202670328832,466.7,0.0230121309224
467.4,0.0264805065995,467.4,0.0155582513161,467.4,0.0175188830396,467.4,0.019549858854,467.4,0.0177019913024
468.1,0.0148073548486,468.1,0.0154300755322,468.1,0.0157640955215,468.1,0.0136751354238,468.1,0.0064255741207
468.7,0.0349492637522,468.7,0.015501029984,468.7,0.0188006408789,468.7,0.0236697947662,468.7,0.0260486762799
469.4,0.01932402533,469.4,0.0149097428855,469.4,0.0129411764706,469.4,0.0136293583581,469.4,0.0126817730983
470.1,0.0154634927901,470.1,0.0156513313497,470.1,0.0146196688792,470.1,0.0117830167086,470.1,0.0111558709087
470.7,0.0300511177234,470.7,0.0156086060883,470.7,0.0170916304265,470.7,0.0163759822995,470.7,0.0238971541924
471.4,0.0309819180591,471.4,0.01511497673,471.4,0.0185717555505,471.4,0.0227542534524,471.4,0.0233478294041
472.1,0.0334538796063,472.1,0.0155155260548,472.1,0.0134447241932,472.1,0.0201754787518,472.1,0.0197619592584
472.7,0.0233218890669,472.7,0.014704509041,472.7,0.0172289616236,472.7,0.0146211947814,472.7,0.0178393224994
473.4,0.027151903563,473.4,0.0151989013504,473.4,0.0155504692149,473.4,0.0143312733654,473.4,0.0131395437552
474.1,0.0390081635767,474.1,0.0159214160372,474.1,0.0163591973754,474.1,0.027835507744,474.1,0.033266193637
474.7,0.0309666590372,474.7,0.0147891966125,474.7,0.0162371252003,474.7,0.019702449073,474.7,0.0271320668345
475.4,0.0249240863661,475.4,0.0155086594949,475.4,0.0172289616236,475.4,0.0157351033799,475.4,0.0170611123827
476.1,0.0234439612421,476.1,0.01532402533,476.1,0.0133684290837,476.1,0.0149416342412,476.1,0.0138261997406
476.7,0.0183474479286,476.7,0.0150371557183,476.7,0.0143450064851,476.7,0.0148043030442,476.7,0.0134142061494
477.4,0.0349340047303,477.4,0.0157352559701,477.4,0.0162371252003,477.4,0.0222049286641,477.4,0.0288563363088
478.1,0.0286625467308,478.1,0.0153385214008,478.1,0.0167559319448,478.1,0.0178103303578,478.1,0.0171374074922
478.7,0.0228793774319,478.7,0.0148410772869,478.7,0.0154283970397,478.7,0.0133241779202,478.7,0.0145586327916
479.4,0.0292423895628,479.4,0.0157070267796,479.4,0.0150011444266,479.4,0.0181307698177,479.4,0.0199145494774
480.1,0.0433417257954,480.1,0.0150814068818,480.1,0.0183123521782,480.1,0.0240360112917,480.1,0.0286274509804
480.7,0.0354985885405,480.7,0.0157047379263,480.7,0.0172137026017,480.7,0.0215640497444,480.7,0.0241565575647
481.4,0.0508644235904,481.4,0.0156253910124,481.4,0.0166186007477,481.4,0.0196261539635,481.4,0.026475928893
482.1,0.0632394903487,482.1,0.0153789578088,482.1,0.0168780041199,482.1,0.0183596551461,482.1,0.0270405127031
482.7,0.176156252384,482.7,0.0161617456321,482.7,0.0205859464408,482.7,0.0328709849699,482.7,0.0631891355764
483.4,0.712266727703,483.4,0.0179844357977,483.4,0.0237293049516,483.4,0.124760814832,483.4,0.290121309224
484.1,0.941411459525,484.1,0.0215710688945,484.1,0.0941649500267,484.1,0.674802777142,484.1,0.927994201572
484.8,0.941411459525,484.8,0.0320021362631,484.8,0.354697489891,484.8,0.968722056916,484.8,0.942017242695
485.4,0.941411459525,485.4,0.0705960173953,485.4,0.860030518044,485.4,0.968722056916,485.4,0.942017242695
486.1,0.941411459525,486.1,0.0471680781262,486.1,0.650569924468,486.1,0.968722056916,486.1,0.942017242695
486.7,0.941411459525,486.7,0.0161876859693,486.7,0.0217608911269,486.7,0.673047989624,486.7,0.942017242695
487.4,0.941411459525,487.4,0.0158832684825,487.4,0.0172747386893,487.4,0.0270420386053,487.4,0.942017242695
488.1,0.941411459525,488.1,0.015074540322,488.1,0.0170763714046,488.1,0.0223727779049,488.1,0.484261844816
488.7,0.941411459525,488.7,0.0159816891737,488.7,0.0148332951858,488.7,0.0277897306783,488.7,0.0309163042649
489.4,0.941411459525,489.4,0.0154094758526,489.4,0.0173815518425,489.4,0.0241886015106,489.4,0.032823682002
490,0.941411459525,490,0.0150440222782,490,0.0165423056382,490,0.0215640497444,490,0.0238513771267
490.7,0.554930952926,490.7,0.0154186312657,490.7,0.0140398260472,490.7,0.00970778973068,490.7,0.0132310978866
491.4,0.0408697642481,491.4,0.0157154192416,491.4,0.0179766536965,491.4,0.0260349431601,491.4,0.035921263447
492,0.0235049973297,492,0.0154895857176,492,0.0153368429084,492,0.0169710841535,492,0.0207537956817
492.7,0.0326604104677,492.7,0.0148929579614,492.7,0.0147570000763,492.7,0.0219607843137,492.7,0.0235919737545
493.4,0.0117708094911,493.4,0.0148891432059,493.4,0.014650186923,493.4,0.0117067215991,493.4,0.0106065461204
494,0.0158144502937,494,0.0144107728695,494,0.017305256733,494,0.0107301441978,494,0.0127733272297
