"Latest: Wavelength (nm)","Latest: Intensity (rel)","Run 1: Wavelength (nm)","Run 1: Intensity (rel)","Run 2: Wavelength (nm)","Run 2: Intensity (rel)","Run 3: Wavelength (nm)","Run 3: Intensity (rel)","Run 4: Wavelength (nm)","Run 4: Intensity (rel)","Run 5: Wavelength (nm)","Run 5: Intensity (rel)"
371.4,0.500992332341,371.4,0.497098649577,371.4,0.500101358053,371.4,0.497911879149,371.4,0.498298847944,371.4,0.500156252384
372.1,0.447198176547,372.1,0.444177309834,372.1,0.446115701534,372.1,0.446350118257,372.1,0.446348744945,372.1,0.446546730755
372.7,0.434640764477,372.7,0.4292059205,372.7,0.430918478676,372.7,0.430572289616,372.7,0.431517738613,372.7,0.433180590524
373.4,0.383101129168,373.4,0.381619134813,373.4,0.381230525673,373.4,0.383074006256,373.4,0.38390577554,373.4,0.383510948348
374,0.378186961166,374,0.374391699092,374,0.375214656291,374,0.375301060502,374,0.374945677882,374,0.376539864195
374.7,0.379969214923,374.7,0.376099946593,374.7,0.379339169909,374.7,0.37888845655,374.7,0.379862134737,374.7,0.381311360342
375.3,0.437783360037,375.3,0.435194323644,375.3,0.43502620737,375.3,0.43601060502,375.3,0.435106660563,375.3,0.436493324178
376,0.468444075685,376,0.466106813153,376,0.466874837873,376,0.466488212406,376,0.467103303578,376,0.469459678035
376.6,0.479899023423,376.6,0.474289463645,376.6,0.477195277333,376.6,0.47803166247,376.6,0.476657740139,376.6,0.478162661173
377.3,0.543491760128,377.3,0.539337148089,377.3,0.542939536126,377.3,0.541152132448,377.3,0.54343198291,377.3,0.540447699702
377.9,0.602853170062,377.9,0.598235446708,377.9,0.600903982605,377.9,0.599520943008,377.9,0.601767223621,377.9,0.602373388266
378.6,0.56697005417,378.6,0.563480735485,378.6,0.566125619898,378.6,0.563444037537,378.6,0.565378271153,378.6,0.564927748531
379.2,0.486390211337,379.2,0.481775539788,379.2,0.482982261387,379.2,0.484607537957,379.2,0.485143282216,379.2,0.48492698558
379.9,0.484800984207,379.9,0.481815976196,379.9,0.483128747997,379.9,0.479820782788,379.9,0.479890363928,379.9,0.48174929427
380.5,0.548051155871,380.5,0.543976653696,380.5,0.546673418784,380.5,0.548339894713,380.5,0.547185702296,380.5,0.54917051957
381.1,0.505804264897,381.1,0.502130312047,381.1,0.502857137407,381.1,0.505032501717,381.1,0.503312199588,381.1,0.50563042649
381.8,0.400023384451,381.8,0.395038681621,381.8,0.399803807126,381.8,0.399005188067,381.8,0.397683909361,381.8,0.397468375677
382.4,0.334802510109,382.4,0.33142153048,382.4,0.333076867323,382.4,0.332050125887,382.4,0.333455634394,382.4,0.334705729763
383.1,0.300948844129,383.1,0.300001678492,383.1,0.299716830701,383.1,0.300217517357,383.1,0.299469977874,383.1,0.301058060578
383.7,0.339650301366,383.7,0.336082398718,383.7,0.338079537652,383.7,0.337393835355,383.7,0.336412069886,383.7,0.33846707866
384.4,0.451303616388,384.4,0.448330815595,384.4,0.449337644007,384.4,0.448902952621,384.4,0.449182345312,384.4,0.449854123751
385,0.466209391928,385,0.462523231861,385,0.463483520256,385,0.463241855497,385,0.465443121996,385,0.466694743267
385.7,0.430191996643,385.7,0.424854810407,385.7,0.427310482948,385.7,0.427349584192,385.7,0.427602273594,385.7,0.428678416114
386.3,0.460444533455,386.3,0.455781795987,386.3,0.457188410773,386.3,0.458664911879,386.3,0.456657740139,386.3,0.458553292134
387,0.444715533684,387,0.443424277104,387,0.445278744182,387,0.444093308919,387,0.443266422522,387,0.443447623407
387.6,0.453446746014,387.6,0.450450293736,387.6,0.45084523537,387.6,0.45145273518,387.6,0.451109559777,387.6,0.453092088197
388.3,0.448421187152,388.3,0.444012512398,388.3,0.446762684062,388.3,0.446162432288,388.3,0.447278019379,388.3,0.446115663386
388.9,0.510920614939,388.9,0.50738704509,388.9,0.50892870222,388.9,0.509370641642,388.9,0.508689478904,388.9,0.510038757916
389.6,0.575288509957,389.6,0.570262607767,389.6,0.572632829786,389.6,0.572338521401,389.6,0.571420080873,389.6,0.575893644617
390.2,0.572678454261,390.2,0.566875867857,390.2,0.569814488441,390.2,0.570227435721,390.2,0.570725795377,390.2,0.572039978637
390.8,0.619563324941,390.8,0.612729991608,390.8,0.614371595331,390.8,0.61581528954,390.8,0.616252613107,390.8,0.618464789807
391.5,0.574395094224,391.5,0.57022980087,391.5,0.571211451896,391.5,0.572287403677,391.5,0.571400244144,391.5,0.574028229191
392.1,0.439393949798,392.1,0.436108339055,392.1,0.437463836118,392.1,0.436424887465,392.1,0.43563385977,392.1,0.438775310903
392.8,0.279049095903,392.8,0.276374608988,392.8,0.278387006943,392.8,0.27978034638,392.8,0.278459067674,392.8,0.279866330968
393.4,0.317720798047,393.4,0.31652948806,393.4,0.31636442359,393.4,0.316759822995,393.4,0.317044556344,393.4,0.317580529488
394.1,0.503162928206,394.1,0.499118181125,394.1,0.50011356527,394.1,0.500907225147,394.1,0.501304112306,394.1,0.501750820172
