"Run 1: Wavelength (nm)","Run 1: Intensity (rel)","Run 2: Wavelength (nm)","Run 2: Intensity (rel)","Run 3: Wavelength (nm)","Run 3: Intensity (rel)","Run 4: Wavelength (nm)","Run 4: Intensity (rel)","Run 5: Wavelength (nm)","Run 5: Intensity (rel)","Run 6: Wavelength (nm)","Run 6: Intensity (rel)"
409.6,0.0188463797971,409.6,0.0188619821469,409.6,0.0311494621195,409.6,0.159810749981,409.6,0.94422980087,409.6,0.947537956817
410.2,0.0169283207446,410.2,0.0159703974975,410.2,0.0184219119554,410.2,0.0315601968414,410.2,0.205235370413,410.2,0.507376211185
410.9,0.0155321202411,410.9,0.0156560616464,410.9,0.0167266346227,410.9,0.0215098420691,410.9,0.0500205996796,410.9,0.124237430381
411.5,0.0162225909819,411.5,0.0152234683757,411.5,0.0160766002899,411.5,0.0179056610971,411.5,0.040361638819,411.5,0.109405661097
412.2,0.0156267261769,412.2,0.0165426108186,412.2,0.0165694666972,412.2,0.0200030136568,412.2,0.0487846189059,412.2,0.118744182498
412.8,0.0157381170367,412.8,0.0157697413596,412.8,0.0158805218585,412.8,0.0166406881819,412.8,0.0395681696803,412.8,0.111480888075
413.5,0.0157014953841,413.5,0.0159551384756,413.5,0.016189517052,413.5,0.0181963454643,413.5,0.0405294880598,413.5,0.105468833448
414.1,0.0157098878462,414.1,0.0158040741588,414.1,0.0155982299535,414.1,0.0153963149462,414.1,0.036958876936,414.1,0.104400701915
414.8,0.015515335317,414.8,0.0162778667887,414.8,0.0168967727169,414.8,0.0222201495384,414.8,0.0527519645991,414.8,0.128021667811
415.4,0.0152681391623,415.4,0.0156369878691,415.4,0.0159377431907,415.4,0.0159746318761,415.4,0.0413992523079,415.4,0.120041199359
416.1,0.0163904402228,416.1,0.0156430914778,416.1,0.0167243457694,416.1,0.0209917982757,416.1,0.0551171129931,416.1,0.141297016861
416.7,0.0159128328374,416.7,0.0159314869917,416.7,0.0168235294118,416.7,0.0206667811093,416.7,0.0622583352407,416.7,0.168809033341
417.4,0.0159044403754,417.4,0.01627176318,417.4,0.0182372777905,417.4,0.0254115739681,417.4,0.0655085069047,417.4,0.1686411841
418.1,0.015869344625,418.1,0.015684290837,418.1,0.0160193789578,418.1,0.0173906691081,418.1,0.0402243076219,418.1,0.107528801404
418.7,0.0156274891279,418.7,0.0156102845808,418.7,0.0161773098344,418.7,0.0176371023117,418.7,0.0471671625849,418.7,0.122513160906
419.4,0.0159135957885,419.4,0.0162229343099,419.4,0.0167296864271,419.4,0.0207774090181,419.4,0.056017395285,419.4,0.147278553445
420.1,0.0151247043565,420.1,0.0156270695048,420.1,0.0162330052644,420.1,0.0176508354314,420.1,0.0466941329061,420.1,0.139328603037
420.7,0.0159036774243,420.7,0.0157178606851,420.7,0.0175750362402,420.7,0.0232234302281,420.7,0.0569939726864,420.7,0.139954222934
421.4,0.0154451438163,421.4,0.0159314869917,421.4,0.0162352941176,421.4,0.0195322728313,421.4,0.0420248722057,421.4,0.104461738003
422.1,0.0160432974746,422.1,0.0158101777676,422.1,0.0171615167468,422.1,0.0214877164874,422.1,0.0431845578698,422.1,0.105941863127
422.7,0.0155748455024,422.7,0.0151578545815,422.7,0.0159301136797,422.7,0.0175463111315,422.7,0.037996490425,422.7,0.0903471427481
423.4,0.0153200198367,423.4,0.01559578851,423.4,0.0165908293278,423.4,0.0189470893416,423.4,0.0399038681621,423.4,0.0980987258717
424.1,0.0148401235981,424.1,0.01554009308,424.1,0.0164367132067,424.1,0.0185503547723,424.1,0.0409719996948,424.1,0.100814831769
424.7,0.0158182269017,424.7,0.0162832074464,424.7,0.0160941481651,424.7,0.0193072022583,424.7,0.0401022354467,424.7,0.0989990081636
425.4,0.0156450370031,425.4,0.0151433585107,425.4,0.0167037460899,425.4,0.0204028000305,425.4,0.044191653315,425.4,0.097457846952
426.1,0.0159471656367,426.1,0.015949797818,426.1,0.0174644083314,426.1,0.0234584191653,426.1,0.0465720607309,426.1,0.105346761273
426.7,0.0159906538491,426.7,0.015363088426,426.7,0.0163741512169,426.7,0.020736209659,426.7,0.0432455939574,426.7,0.101089494163
427.4,0.0158266193637,427.4,0.0151280994888,427.4,0.0164122987716,427.4,0.0205172426947,427.4,0.0453971160449,427.4,0.0924986648356
428.1,0.0159151216907,428.1,0.0155843442435,428.1,0.0162452124819,428.1,0.0199030670634,428.1,0.0417654688334,428.1,0.0973968108644
428.7,0.0160478751812,428.7,0.0162389562829,428.7,0.0173049515526,428.7,0.0224398794537,428.7,0.0477317463951,428.7,0.106124971389
429.4,0.0155511940185,429.4,0.0157140459297,429.4,0.0166778057527,429.4,0.0181192874037,429.4,0.0417654688334,429.4,0.103591973754
430.1,0.0160455863279,430.1,0.0159482719158,430.1,0.017855039292,430.1,0.023511825742,430.1,0.0529350728618,430.1,0.131638056001
430.7,0.0158380636301,430.7,0.0156659800107,430.7,0.016736552987,430.7,0.0203257419699,430.7,0.0525383382925,430.7,0.146317235065
431.4,0.0161394293126,431.4,0.015805600061,431.4,0.0183135729,431.4,0.0258601892119,431.4,0.110125886931,431.4,0.28392309453
432.1,0.0175142671855,432.1,0.0169538414588,432.1,0.0215507743954,432.1,0.0524536125734,432.1,0.390235751888,432.1,0.764902723735
432.7,0.0200396353094,432.7,0.0197943083848,432.7,0.0485081254292,432.7,0.27627676051,432.7,0.957566186007,432.7,0.947537956817
433.4,0.0236071946288,433.4,0.0235571831846,433.4,0.184810101472,433.4,0.899623064012,433.4,0.957566186007,433.4,0.947537956817
434.1,0.0183435950256,434.1,0.0186193636988,434.1,0.0411265735866,434.1,0.221045967803,434.1,0.92475928893,434.1,0.947537956817
434.7,0.015435225452,434.7,0.0157926298924,434.7,0.016567940795,434.7,0.0191057831693,434.7,0.0422537575341,434.7,0.919186694133
435.4,0.0161134889754,435.4,0.0160772106508,435.4,0.0172980849928,435.4,0.0226443503471,435.4,0.0483573662928,435.4,0.151886778058
436.1,0.0153741893645,436.1,0.0155706111238,436.1,0.0153922331579,436.1,0.0158197528038,436.1,0.0389272907607,436.1,0.0963134203098
436.7,0.0160532158389,436.7,0.0159520866712,436.7,0.0170791180285,436.7,0.0216853208209,436.7,0.0472587167163,436.7,0.107132066835
437.4,0.0153162050813,437.4,0.0154225986114,437.4,0.0162734416724,437.4,0.0194498741131,437.4,0.0408651865415,437.4,0.10420233463
